NAME,ADDRESS,ADDRESS2,LAT,LNG,Tigerline ID,Tigerline ID side
Innovative Changes,"2027 Lloyd Center, Portland, Oregon, 97232--130","2027 LLOYD CENTER, PORTLAND, OR, 97232",-122.65281,45.531902,157592505,L
HDC Community Fund LLC,"847 NE 19th Avenue, Suite 150, Portland, Oregon, 97232--268","847 NE 19TH AVE, PORTLAND, OR, 97232",-122.64647,45.52892,157506834,L
Albina Opportunities Corporation,"2420 NE Sandy Blvd., Portland, Oregon, 97232--278","2420 NE SANDY BLVD, PORTLAND, OR, 97232",-122.64114,45.5276,157507052,R
Siskiyou Central Credit Union,"845 4th St., Yreka, California, 96097","845 4TH ST, YREKA, CA, 96097",-122.63984,41.725437,113225088,L
"Karuk Community Loan Fund, Inc.","500 S. Fourth Ave, Yreka, California, 96097--300","500 4TH ST, YREKA, CA, 96097",-122.63857,41.728615,113294791,R
Portland Housing Center,"3233 NE Sandy Blvd, Portland, Oregon, 97232--255","3233 NE SANDY BLVD, PORTLAND, OR, 97232",-122.631424,45.531403,157507332,L
Cutting Edge Federal Credit Union,"4620 SE International Way Ste. 105, Milwaukie, Oregon, 97222--044","4620 SE INTERNATIONAL WAY, MILWAUKIE, OR, 97222",-122.61578,45.43545,157980802,L
Affiliated Tribes of Northwest Indians Financial Services,"6636 NE Sandy Blvd, Portland, Oregon, 97213","6636 NE SANDY BLVD, PORTLAND, OR, 97213",-122.59493,45.54598,157512772,R
Harborstone Credit Union,"9611 Gravelly Lake Drive SW, Lakewood, Washington, 98499","9611 GRAVELLY LAKE DR SW, LAKEWOOD, WA, 98499",-122.51983,47.169895,184622719,L
National Asian American Coalition,"15 Southgate Ave.  Suite 200, Daly City, California, 94015--141","15 SOUTHGATE AVE, DALY CITY, CA, 94015",-122.48071,37.69834,192367224,L
Industrial CU of Whatcom County,"1100 N State Street, Bellingham, Washington, 98225--501","1100 N STATE ST, BELLINGHAM, WA, 98225",-122.47999,48.746445,183772285,R
Feed the Hunger Foundation,"211 CLIPPER STREET, San Francisco, California, 94114-3818","211 CLIPPER ST, SAN FRANCISCO, CA, 94114",-122.42979,37.74913,192284841,L
Mission National Bank,"3060 16th Street, San Francisco, California, 94103--346","3060 16TH ST, SAN FRANCISCO, CA, 94103",-122.42093,37.76498,192284266,R
MNB Holding Corporation,"3060 16th St, San Francisco, California, 94103--341","3060 16TH ST, SAN FRANCISCO, CA, 94103",-122.42093,37.76498,192284266,R
Mission Asset Fund,"3269 Mission Street, San Francisco, California, 94110-5006","3269 MISSION ST, SAN FRANCISCO, CA, 94110",-122.42053,37.74459,192288542,L
Mission Community Loan Fund LLC,"2301 Mission Street, San Francisco, California, 94110","2301 MISSION ST, SAN FRANCISCO, CA, 94110",-122.41919,37.76011,192287536,L
Bridge Impact Capital,"600 California Street, SAN FRANCISCO, California, 94108-2706","600 CALIFORNIA ST, SAN FRANCISCO, CA, 94108",-122.40452,37.792633,192281237,R
Northeast Community Federal Credit Union,"683 Clay Street, San Francisco, California, 94111--250","683 CLAY ST, SAN FRANCISCO, CA, 94111",-122.404434,37.794495,192281281,L
TMC Development Working Solutions,"930 Montgomery Street, Ste 400, San Francisco, California, 94133","930 MONTGOMERY ST, SAN FRANCISCO, CA, 94133",-122.40371,37.7975,192281240,R
"Impact C.I.L., LLC","100 Pine Street, San Francisco, California, 94111-5229","100 PINE ST, SAN FRANCISCO, CA, 94111",-122.39868,37.7924,192281482,R
Low Income Investment Fund,"50 California Street  Suite 2900, San Francisco, California, 94111-4708","50 CALIFORNIA ST, SAN FRANCISCO, CA, 94111",-122.39723,37.793564,192281516,R
"Pacific Community Ventures, Inc.","51 Federal Street  Suite 100, San Francisco, California, 94107--415","51 FEDERAL ST, SAN FRANCISCO, CA, 94107",-122.391716,37.783726,192296869,L
Atchison Village Credit Union,"270 A Curry, Richmond, California, 94801--000","270 CURRY ST, RICHMOND, CA, 94801",-122.37131,37.93554,192037436,R
Impact Capital,"701 Pike Street #1645, Seattle, Washington, 98101","701 PIKE ST, SEATTLE, WA, 98101",-122.33326,47.611637,186589513,R
Washington Community Reinvestment Association,"1200 5th Avenue  Suite 1406, Seattle, Washington, 98101--313","1200 5TH AVE, SEATTLE, WA, 98101",-122.33315,47.608036,186589570,R
Seattle Metropolitan Credit Union,"801 3rd Ave, Seattle, Washington, 98104","801 3RD AVE, SEATTLE, WA, 98104",-122.33277,47.604248,186589593,L
Express Credit Union,"1930 6th Ave S, Ste 104, Seattle, Washington, 98134--162","1930 6TH AVE S, SEATTLE, WA, 98134",-122.325966,47.585594,186590583,L
Northwest Access Fund.,"1437 South Jackson ST, Suite 302, Seattle, Washington, 98144--202","1437 S JACKSON ST, SEATTLE, WA, 98144",-122.313545,47.599205,186592862,R
Seattle Economic Development Fund d/b/a Community Capital,"1437 S. Jackson Street, Seattle, Washington, 98144--202","1437 S JACKSON ST, SEATTLE, WA, 98144",-122.31354,47.599205,186592862,R
New Roots Fund,"1610 South King Street, Seattle, Washington, 98144-2115","1610 S KING ST, SEATTLE, WA, 98144",-122.311264,47.59833,186592875,L
Ventures,"2100 24th Avenue S., Suite 380, Seattle, Washington, 98144--463","2100 24TH AVE S, SEATTLE, WA, 98144",-122.30163,47.58443,186593990,L
HomeSight,"5117 Rainier Avenue South, Seattle, Washington, 98118-1928","5117 RAINIER AVE S, SEATTLE, WA, 98118",-122.28344,47.55585,186596065,R
Rainier Valley Community Development Fund,"6951 Martin Luther King Jr Way S, Ste 225, Seattle, Washington, 98118--354","6951 MARTIN LUTHER KING JR WAY S, SEATTLE, WA, 98118",-122.282776,47.540276,186696336,R
AnewAmerica CDFI,"1918 University Avenue   Suite 3A, Berkeley, California, 94704--105","1918 UNIVERSITY AVE, BERKELEY, CA, 94704",-122.272606,37.871567,606160593,R
Cooperative Center Federal Credit Union,"2001 Ashby Avenue, Berkeley, California, 94703--024","2001 ASHBY AVE, BERKELEY, CA, 94703",-122.2692,37.85462,606161399,L
"Beneficial State Bancorp, Inc.","1438 Webster Street  Suite 100, Oakland, California, 94612--320","1438 WEBSTER ST, OAKLAND, CA, 94612",-122.268555,37.8038,124997171,R
Beneficial State Bank,"1438 Webster Street, Oakland, California, 94612-3206","1438 WEBSTER ST, OAKLAND, CA, 94612",-122.268555,37.8038,124997171,R
Gateway Bank Federal Savings Bank,"2201 Broadway, Suite 404, Oakland, California, 94612--301","2201 BROADWAY, OAKLAND, CA, 94612",-122.26715,37.810944,124996659,L
Fund Good Jobs,"2335 Broadway, Suite 102, Oakland, California, 94612--249","2335 BROADWAY, OAKLAND, CA, 94612",-122.26613,37.812572,606400872,L
Main Street Launch,"2101 Webster Street  Suite 1200, Oakland, California, 94612--407","2101 WEBSTER ST, OAKLAND, CA, 94612",-122.26584,37.809895,125000345,L
"EBSV Community Development, Inc.","2619 Broadway Suite 200, Oakland, California, 94612","2619 BROADWAY, OAKLAND, CA, 94612",-122.2646,37.81504,617284101,L
Community Bank of the Bay,"180 Grand Avenue, Suite 1550, Oakland, California, 94612--210","180 GRAND AVE, OAKLAND, CA, 94612",-122.26309,37.811066,125000355,L
California FarmLink,"303 Potrero St.  Suite 29-201, Santa Cruz, California, 95060--275","303 POTRERO ST, SANTA CRUZ, CA, 95060",-122.03105,36.98056,125538707,L
Santa Cruz Community Credit Union,"324 Front Street, Santa Cruz, California, 95060--450","324 FRONT ST, SANTA CRUZ, CA, 95060",-122.02386,36.96978,125506198,R
Bay Federal Credit Union,"3333 Clares Street, Capitola, California, 95010--256","3333 CLARES ST, CAPITOLA, CA, 95010",-121.96942,36.975925,606051131,L
Opportunity Fund Community Development,"111 West St. John Street, Suite 800, San Jose, California, 95113--112","111 W SAINT JOHN ST, SAN JOSE, CA, 95113",-121.89347,37.337204,122997895,R
Housing Trust Silicon Valley,"95 S. Market Street, San Jose, CA, 95113","95 S MARKET ST, SAN JOSE, CA, 95113",-121.89078,37.333744,122907848,R
"3CORE, Inc.","1430 East Avenue, Suite 4A, Chico, California, 95926","1430 EAST AVE, CHICO, CA, 95926",-121.81921,39.761177,626671123,L
Bank of Rio Vista,"101 Main Street, Rio Vista, California, 94571","101 MAIN ST, RIO VISTA, CA, 94571",-121.69087,38.15595,192525985,L
California Coastal Rural Development Corporation,"221 Main Street  Suite 301, Salinas, California, 93901--047","221 MAIN ST, SALINAS, CA, 93901",-121.65514,36.675182,640551892,L
Rural Community Assistance Corporation,"3120 Freeboard Drive  Suite 201, West Sacramento, California, 95691--501","3120 FREEBOARD DR, W SACRAMENTO, CA, 95691",-121.5521,38.574657,67697498,R
"Nehemiah Community Reinvestment Fund, Inc.","640 Bercut Drive  Suite A, Sacramento, California, 95811--013","640 BERCUT DR, SACRAMENTO, CA, 95811",-121.50051,38.59997,133321476,L
"Sacramento Neighborhood Housing Services, Inc.","2411 Alhambra Blvd, Ste. 200, Sacramento, California, 95817--310","2411 ALHAMBRA BLVD, SACRAMENTO, CA, 95817",-121.47226,38.55651,133325219,L
California Capital Financial Development Corporation,"1792 Tribute Rd, Suite 270, Sacramento, California, 95815","1792 TRIBUTE RD, SACRAMENTO, CA, 95815",-121.44676,38.597984,133334530,R
"Opening Doors, Inc.","1111 Howe Ave., Suite 125, Sacramento, California, 95825--854","1111 HOWE AVE, SACRAMENTO, CA, 95825",-121.41533,38.5856,133335393,L
San Luis Obispo County Housing Trust Fund,"71 Zaca Lane, Suite 130, San Luis Obispo, California, 93401--731","71 ZACA LN, SAN LUIS OBISPO, CA, 93401",-120.67218,35.250786,109771505,L
Peoples Opportunity Fund,"3533 Empleo Street, San Luis Obispo, California, 93401--733","3533 EMPLEO ST, SAN LUIS OBISPO, CA, 93401",-120.66829,35.252098,109771314,L
CALCOE Federal Credit Union,"1209 North 16th Avenue, Yakima, Washington, 98902--134","1209 N 16TH AVE, YAKIMA, WA, 98902",-120.53041,46.617184,184934159,R
Office of Rural and Farmworker Housing,"1400 Summitview Avenue, #203, Yakima, Washington, 98902--296","1400 SUMMITVIEW AVE, YAKIMA, WA, 98902",-120.52776,46.59977,184934679,L
Lower Valley Credit Union,"900 Yakima Valley Highway, Sunnyside, Washington, 98944--150","900 YAKIMA VALLEY HWY, SUNNYSIDE, WA, 98944",-120.00932,46.32901,184912633,R
Valley Small Business Development Corporation,"7035 N. Fruit Avenue, Fresno, California, 93711--076","7035 N FRUIT AVE, FRESNO, CA, 93711",-119.81737,36.8385,197567076,L
FRESNO COMMUNITY DEVELOPMENT FINANCIAL INSTITUTION,"1920 MARIPOSA MALL STE 330, FRESNO, California, 93721--250","1920 MARIPOSA ST, FRESNO, CA, 93721",-119.79277,36.73384,197579665,R
Womens Economic Ventures,"333 S. Salinas Street, Santa Barbara, California, 93103--296","333 N SALINAS ST, SANTA BARBARA, CA, 93103",-119.67643,34.428833,108606113,L
Ventura County Community Development Corporation,"2231 Sturgis Road  Suite A, OXNARD, California, 93030","2231 STURGIS RD, OXNARD, CA, 93030",-119.14689,34.2016,110120368,R
Valley Economic Development Center,"5121 Van Nuys Blvd.  3rd Floor, Van Nuys, California, 91403--149","5121 VAN NUYS BLVD, VAN NUYS, CA, 91403",-118.44871,34.163624,141561509,L
Century Housing Corporation,"1000 Corporate Pointe, Culver City, California, 90230-7610","1000 CORPORATE POINTE, CULVER CITY, CA, 90230",-118.38858,33.987423,645557367,L
Kinecta Federal Credit Union,"1440 Rosecrans Ave, Manhattan Beach, California, 90266-3702","1440 ROSECRANS AVE, MANHATTAN BCH, CA, 90266",-118.38731,33.90187,640416873,R
MIssion Valley Bancorp,"9116 Sunland Blvd, Sun Valley, California, 91352--205","9116 SUNLAND BLVD, SUN VALLEY, CA, 91352",-118.36723,34.235004,141586489,R
Mission Valley Bank,"9116 Sunland Blvd, Sun Valley, California, 91352--205","9116 SUNLAND BLVD, SUN VALLEY, CA, 91352",-118.36723,34.235004,141586489,R
Broadway Federal Bank,"5055 Wilshire Blvd.  Suite 500, Los Angeles, California, 90036--610","5055 WILSHIRE BLVD, LOS ANGELES, CA, 90036",-118.34018,34.062157,141600136,R
NHS Neighborhood Lending Services,"3926 Wilshire Blvd  Ste. 200, Los Angeles, California, 90010--330","3926 WILSHIRE BLVD, LOS ANGELES, CA, 90010",-118.31144,34.061687,141603643,L
"Poverty Solutions, Inc.","3699 Wilshire Blvd.  Suite 610, Los Angeles, California, 90010--272","3699 WILSHIRE BLVD, LOS ANGELES, CA, 90010",-118.306496,34.061714,141603841,R
"Pacific Coast Regional, Small Business Development Corp.","3255 Wilshire Blvd., Suite 1501, Los Angeles, California, 90010--141","3255 WILSHIRE BLVD, LOS ANGELES, CA, 90010",-118.29317,34.06179,141604950,R
PACE Finance Corporation,"1055 Wilshire Blvd.  Suite 1475, Los Angeles, California, 90017--565","1055 WILSHIRE BLVD, LOS ANGELES, CA, 90017",-118.262665,34.052036,142732411,R
Episcopal Community Federal Credit Union,"840 ECHO PARK AVE., LOS ANGELES, California, 90026--420","840 ECHO PARK AVE, LOS ANGELES, CA, 90026",-118.2596,34.07316,141616285,R
RBB BANCORP,"660 S FIGUEROA ST, Los Angeles, California, 90117-3433","660 S FIGUEROA ST, LOS ANGELES, CA, 90017",-118.25948,34.049774,141617174,L
Royal Business Bank,"660 S. Figueroa St  Suite 1888, Los Angeles, California, 90017--343","660 S FIGUEROA ST, LOS ANGELES, CA, 90017",-118.25948,34.049774,141617174,L
Genesis LA Economic Growth Corporation,"801 S. Grand Avenue, Suite 775, Los Angeles, California, 90017--461","801 S GRAND AVE, LOS ANGELES, CA, 90017",-118.25804,34.04574,141619239,R
California Community Reinvestment Corp.,"225 West Broadway  Suite 120, Glendale, California, 91204","225 W BROADWAY, GLENDALE, CA, 91204",-118.2568,34.146614,141610056,R
Pacific Commerce Bancorp,"420 East Third Street,, Los Angeles, California, 90013","420 E 3RD ST, LOS ANGELES, CA, 90013",-118.24192,34.047062,141620324,R
Pacific Commerce Bank,"420 East Third Street, Los Angeles, California, ","420 E 3RD ST, LOS ANGELES, CA, 90013",-118.24192,34.047062,141620324,R
TELACU Community Capital,"5400 E. Olympic Boulevard Suite 300, Los Angeles, California, 90022--510","5400 E OLYMPIC BLVD, LOS ANGELES, CA, 90022",-118.15558,34.01567,241240968,R
Oregon Trail Corporation,"4022 Katella Ave  Suite 104, Los Alamitos, California, 90720--346","4022 KATELLA AVE, LOS ALAMITOS, CA, 90720",-118.06262,33.803146,635895037,R
First Choice Bank,"17785 Center Court Drive  Suite 750, Cerritos, California, 90703--931","17785 CENTER COURT DR N, CERRITOS, CA, 90703",-118.06108,33.869186,142651950,R
"American Plus Bank, N.A.","630 West Duarte Road, Arcadia, California, 91007--920","630 W DUARTE RD, ARCADIA, CA, 91007",-118.05203,34.126484,141644407,L
SCE FCU,"12701 Schabarum Avenue, Irwindale, California, 91706--680","12701 SCHABARUM AVE, IRWINDALE, CA, 91706",-117.995834,34.078484,241250017,L
Lendistry,"330 E Lambert Road, Brea, California, 92821","330 E LAMBERT RD, BREA, CA, 92821",-117.89139,33.924915,144007327,R
First General Bank,"1744 S. Nogales Street, Rowland Heights, California, 91748--294","1744 S NOGALES ST, ROWLAND HGHTS, CA, 91748",-117.88917,33.98573,241247388,L
Santa Ana FCU,"800 W Santa Ana Blvd, Santa Ana, California, 92701","800 W SANTA ANA BLVD, SANTA ANA, CA, 92703",-117.87549,33.747967,638577825,L
"Neighborhood Housing Services of Orange County, Inc.","128 E Katella Avenue, Orange, CA, 92867","128 E KATELLA AVE, ORANGE, CA, 92867",-117.852394,33.809082,635485758,R
Community Commerce Bank,"358 W Foothill Blvd, Claremont, CA, 91711","358 W FOOTHILL BLVD, CLAREMONT, CA, 91711",-117.71902,34.106983,241246365,L
Clearinghouse Community Development Financial Institution,"23861 El Toro Road, Suite 401, Lake Forest, California, 92630--473","23861 EL TORO RD, LAKE FOREST, CA, 92630",-117.70584,33.61619,144063885,R
Desert Valleys Federal Credit Union,"100 E Ward Ave, Ridgecrest, California, 93555--266","100 W WARD AVE, RIDGECREST, CA, 93555",-117.66997,35.644325,109133483,L
SNAP Financial Access,"500 S. Stone, Spokane, Washington, 99202--415","500 S STONE ST, SPOKANE, WA, 99202",-117.37668,47.65117,605665704,R
Springboard CDFI,"4351 Latham St., Riverside, California, 92501","4351 LATHAM ST, RIVERSIDE, CA, 92501",-117.37523,34.00256,194733905,L
AmPac Tri-State CDC Inc.,"22365 Barton Road, Suite 210, Grand Terrace, California, 92313-5070","22365 BARTON RD, GRAND TERRACE, CA, 92313",-117.317726,34.033897,144975323,R
Neighborhood Housing Services of the Inland Empire,"1390 North D Street, San Bernardino, California, 92405-4737","1390 N D ST, SAN BERNARDINO, CA, 92405",-117.291954,34.12549,144654934,L
ACCION San Diego,"404 Euclid Ave., Ste.# 271, San Diego, California, 92114--222","404 EUCLID AVE, SAN DIEGO, CA, 92114",-117.085,32.70872,195351940,L
Neighborhood Bancorp,"1717 Sweetwater Road, Suite A, National City, California, 91950-7642","1717 SWEETWATER RD, NATIONAL CITY, CA, 91950",-117.08274,32.66136,195355498,L
Neighborhood National Bank,"1717 Sweetwater Road  Suite A, National City, California, 91950--764","1717 SWEETWATER RD, NATIONAL CITY, CA, 91950",-117.08274,32.66136,195355498,L
Lewis Clark Credit Union,"1626 17th St, Lewiston, Idaho, 83501--403","1626 17TH ST, LEWISTON, ID, 83501",-117.00795,46.403786,173130941,L
Latah Federal Credit Union,"912 S Washington Street, Moscow, Idaho, 83843--315","912 S WASHINGTON ST, MOSCOW, ID, 83843",-117,46.726868,193850538,R
Nimiipuu Community Development Fund,"99 Agency Rd  PO Box 365, Lapwai, Idaho, 83540-0000","99 AGENCY RD, LAPWAI, ID, 83540",-116.80286,46.39878,639604417,R
Idaho-Nevada Community Development Financial Institution,"1319 N. Hampton, Boise, Idaho, 83704--812","1319 N HAMPTON RD, BOISE, ID, 83704",-116.30919,43.61673,117879173,L
"NHS Lending, Inc.","3380 W Americana Terrace Suite 120, Boise, Idaho, 83706-2501","3380 W AMERICANA TER, BOISE, ID, 83706",-116.22312,43.61538,624006882,R
First Imperial Credit Union,"1602 W Main St, El Centro, California, 92243--223","1602 W MAIN ST, EL CENTRO, CA, 92243",-115.57263,32.792843,194542200,R
Rural Nevada Development Corporation,"1320 E Aultman Street, Ely, Nevada, 89301--164","1320 AULTMAN ST, ELY, NV, 89301",-114.884636,39.249245,635057946,L
Desert Communities FCU,"305 D Street, Needles, California, 92363-0918","305 D ST, NEEDLES, CA, 92363",-114.60453,34.83717,144524232,R
Lake County Community Development Corp.,"407 Main Street SW, Ronan, Montana, 59864--271","407 MAIN ST SW, RONAN, MT, 59864",-114.10338,47.528725,206890873,L
Missoula Federal Credit Union,"3600 Brooks, Missoula, Montana, 59801--736","3600 BROOKS ST, MISSOULA, MT, 59801",-114.03423,46.838398,205237635,L
Montana Community Development Corporation,"229 East Main, Missoula, Montana, 59802-4531","229 E MAIN ST, MISSOULA, MT, 59802",-113.99274,46.870567,205239440,R
Butte Local Development Corporation,"65 East Broadway, Butte, Montana, 59701--192","65 E BROADWAY ST, BUTTE, MT, 59701",-112.534355,46.013844,153586451,L
Mountain West FCU,"400 E Park, Butte, Montana, 59701--192","400 E PARK ST, BUTTE, MT, 59701",-112.528015,46.013245,153586457,R
"Pocatello Neighborhood Housing Services, Inc.","206 North Arthur, Pocatello, Idaho, 83204--310","206 N ARTHUR AVE, POCATELLO, ID, 83204",-112.45261,42.86232,204351551,R
"Raza Development Fund, Inc.","1 E Washington Street, Ste 2250, Phoenix, Arizona, 85004-2571","1 E WASHINGTON ST, PHOENIX, AZ, 85004",-112.0737,33.448246,128213480,R
MariSol Federal Credit Union,"721 N. Third Street, Phoenix, AZ, 85004","721 N 3RD ST, PHOENIX, AZ, 85004",-112.06998,33.455803,128213495,R
"Prestamos, CDFI, LLC","1024 E. Buckeye Road   Suite 270, Phoenix, Arizona, 85034-4041","1024 E BUCKEYE RD, PHOENIX, AZ, 85034",-112.05983,33.436817,128318900,L
Trellis,"1405 E. McDowell Rd., Phoenix, Arizona, 85006--293","1405 E MCDOWELL RD, PHOENIX, AZ, 85006",-112.052666,33.465744,128213354,R
Vocal Credit Union,"2910 Prospect Avenue, Helena, Montana, 59601","2910 PROSPECT AVE, HELENA, MT, 59601",-111.98667,46.591328,202395693,R
Goldenwest Credit Union,"5025 S. Adams, Ogden, Utah, 84403--410","5025 ADAMS AVE, OGDEN, UT, 84403",-111.968506,41.174248,155698736,R
"Salt Lake Neighborhood Housing Services, Inc.","622 West 500 North, Salt Lake, Utah, 84116","622 W 500 N, SLC, UT, 84116",-111.908714,40.780216,176066840,R
Native Capital Access,"2111 E. Baseline Road, Tempe, Arizona, 85283","2111 E BASELINE RD, TEMPE, AZ, 85283",-111.89502,33.378452,616279147,R
Rocky Mountain Community Reinvestment Corporation,"64 East Winchester St., Salt Lake City, Utah, 84107","64 E WINCHESTER ST, SALT LAKE CTY, UT, 84107",-111.890045,40.6333,176085020,R
Utah Microenterprise Loan Fund (UMLF),"154 East Ford Avenue #A, Salt Lake City, Utah, 84115-4933","154 E FORD AVE, SALT LAKE CTY, UT, 84115",-111.88676,40.697144,639881725,R
Community Development Fund of Utah,"501 E 1700 South, Salt Lake City, Utah, 84105--291","501 E 1700 S, SALT LAKE CTY, UT, 84105",-111.876656,40.733513,176078412,L
Salt River Financial Services Institution,"10005 E Osborn Rd, Scottsdale, Arizona, 85256-4019","10005 E OSBORN RD, SCOTTSDALE, AZ, 85256",-111.86521,33.48775,128922588,R
Neighborhood Economic Development Corporation,"10 West Main Street, Mesa, Arizona, 85201--734","10 W MAIN ST, MESA, AZ, 85201",-111.83189,33.415108,128235118,R
